,ID,Banked,BusinessProcessId,CorrespondingMessageId,Description,ErrorStatus,FIFOMessageGroup,Invocation,IsError,MessageBodyClassName,MessageBodyId,Priority,Resent,ReturnQueueName,SessionId,SourceBusinessType,SourceConfigName,Status,SuperSession,TargetBusinessType,TargetConfigName,TargetQueueName,TimeCreated,TimeProcessed,Type
12,13,0,,12.0,,1,,1,0,HS.FHIRServer.Interop.Response,12,2,,,12,3,HS.FHIRServer.Interop.Operation,9,,1,HS.FHIRServer.Interop.Service,_SyncCall:2316,2026-03-25 13:17:33.517,2026-03-25 13:17:33.518,2
13,14,0,,15.0,,1,,1,0,HS.FHIRServer.Interop.Request,13,2,,_SyncCall:2316,14,1,HS.FHIRServer.Interop.Service,9,,3,HS.FHIRServer.Interop.Operation,HS.FHIRServer.Interop.Operation,2026-03-25 13:17:33.561,2026-03-25 13:17:33.565,1
14,15,0,,14.0,,1,,1,0,HS.FHIRServer.Interop.Response,14,2,,,14,3,HS.FHIRServer.Interop.Operation,9,,1,HS.FHIRServer.Interop.Service,_SyncCall:2316,2026-03-25 13:17:33.565,2026-03-25 13:17:33.566,2
15,16,0,,17.0,,1,,1,0,HS.FHIRServer.Interop.Request,15,2,,_SyncCall:2316,16,1,HS.FHIRServer.Interop.Service,9,,3,HS.FHIRServer.Interop.Operation,HS.FHIRServer.Interop.Operation,2026-03-25 13:17:33.593,2026-03-25 13:17:33.598,1
16,17,0,,16.0,,1,,1,0,HS.FHIRServer.Interop.Response,16,2,,,16,3,HS.FHIRServer.Interop.Operation,9,,1,HS.FHIRServer.Interop.Service,_SyncCall:2316,2026-03-25 13:17:33.598,2026-03-25 13:17:33.598,2
17,18,0,,19.0,,1,,1,0,HS.FHIRServer.Interop.Request,17,2,,_SyncCall:2316,18,1,HS.FHIRServer.Interop.Service,9,,3,HS.FHIRServer.Interop.Operation,HS.FHIRServer.Interop.Operation,2026-03-25 13:17:33.622,2026-03-25 13:17:33.627,1
18,19,0,,18.0,,1,,1,0,HS.FHIRServer.Interop.Response,18,2,,,18,3,HS.FHIRServer.Interop.Operation,9,,1,HS.FHIRServer.Interop.Service,_SyncCall:2316,2026-03-25 13:17:33.627,2026-03-25 13:17:33.627,2
19,20,0,,21.0,,1,,1,0,HS.FHIRServer.Interop.Request,19,2,,_SyncCall:2316,20,1,HS.FHIRServer.Interop.Service,9,,3,HS.FHIRServer.Interop.Operation,HS.FHIRServer.Interop.Operation,2026-03-25 13:17:33.658,2026-03-25 13:17:33.663,1
20,21,0,,20.0,,1,,1,0,HS.FHIRServer.Interop.Response,20,2,,,20,3,HS.FHIRServer.Interop.Operation,9,,1,HS.FHIRServer.Interop.Service,_SyncCall:2316,2026-03-25 13:17:33.663,2026-03-25 13:17:33.663,2
21,22,0,,,,1,,1,0,,,6,,,22,1,Ens.ScheduleService,9,,2,Ens.ScheduleHandler,Ens.ScheduleHandler,2026-03-25 15:46:42.895,2026-03-25 15:46:42.936,1
22,23,0,,,,1,,1,0,,,6,,,23,1,Ens.ScheduleService,9,,2,Ens.ScheduleHandler,Ens.ScheduleHandler,2026-03-26 11:38:04.294,2026-03-26 11:38:04.327,1
23,24,0,,,,1,,1,0,,,6,,,24,1,Ens.ScheduleService,9,,2,Ens.ScheduleHandler,Ens.ScheduleHandler,2026-03-26 19:56:03.005,2026-03-26 19:56:03.024,1
24,25,0,,,,1,,1,0,,,6,,,25,1,Ens.ScheduleService,9,,2,Ens.ScheduleHandler,Ens.ScheduleHandler,2026-03-27 12:04:31.516,2026-03-27 12:04:31.534,1
25,26,0,,,,1,,1,0,,,6,,,26,1,Ens.ScheduleService,9,,2,Ens.ScheduleHandler,Ens.ScheduleHandler,2026-03-27 12:12:36.601,2026-03-27 12:12:36.610,1
26,27,0,,,,1,,1,0,,,6,,,27,1,Ens.ScheduleService,9,,2,Ens.ScheduleHandler,Ens.ScheduleHandler,2026-03-27 12:15:42.270,2026-03-27 12:15:42.284,1
27,28,0,,,,1,,1,0,,,6,,,28,1,Ens.ScheduleService,9,,2,Ens.ScheduleHandler,Ens.ScheduleHandler,2026-03-27 12:18:20.466,2026-03-27 12:18:20.547,1
28,29,0,,,,1,,1,0,,,6,,,29,1,Ens.ScheduleService,9,,2,Ens.ScheduleHandler,Ens.ScheduleHandler,2026-03-27 12:32:15.509,2026-03-27 12:32:15.518,1
29,30,0,,,,1,,1,0,,,6,,,30,1,Ens.ScheduleService,9,,2,Ens.ScheduleHandler,Ens.ScheduleHandler,2026-03-31 09:38:51.903,2026-03-31 09:38:51.930,1
30,31,0,,,,1,,1,0,,,6,,,31,1,Ens.ScheduleService,9,,2,Ens.ScheduleHandler,Ens.ScheduleHandler,2026-03-31 12:12:45.128,2026-03-31 12:12:45.206,1
31,32,0,,,,1,,1,0,,,6,,,32,1,Ens.ScheduleService,9,,2,Ens.ScheduleHandler,Ens.ScheduleHandler,2026-03-31 12:13:14.961,2026-03-31 12:13:14.976,1
32,33,0,,,,1,,1,0,,,6,,,33,1,Ens.ScheduleService,9,,2,Ens.ScheduleHandler,Ens.ScheduleHandler,2026-03-31 12:17:32.687,2026-03-31 12:17:32.716,1
33,34,0,,,,1,,1,0,,,6,,,34,1,Ens.ScheduleService,9,,2,Ens.ScheduleHandler,Ens.ScheduleHandler,2026-03-31 12:19:57.080,2026-03-31 12:19:57.138,1
